"","date","revenue","lag1","lag2","lag3","lag4","lag5","lag6","lag1month","lag2month","lag3month","lag12month","lag1year"
"1",2000-01-01,2409000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2000-01-02,1809000,2409000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2000-01-03,763667,1809000,2409000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2000-01-04,658918,763667,1809000,2409000,NA,NA,NA,NA,NA,NA,NA,NA
"5",2000-01-05,573429,658918,763667,1809000,2409000,NA,NA,NA,NA,NA,NA,NA
"6",2000-01-06,550405,573429,658918,763667,1809000,2409000,NA,NA,NA,NA,NA,NA
"7",2000-01-07,1042000,550405,573429,658918,763667,1809000,2409000,NA,NA,NA,NA,NA
"8",2000-01-08,1637000,1042000,550405,573429,658918,763667,1809000,NA,NA,NA,NA,NA
"9",2000-01-09,937000,1637000,1042000,550405,573429,658918,763667,NA,NA,NA,NA,NA
"10",2000-01-10,258075,937000,1637000,1042000,550405,573429,658918,NA,NA,NA,NA,NA
"11",2000-01-11,337645,258075,937000,1637000,1042000,550405,573429,NA,NA,NA,NA,NA
"12",2000-01-12,2988747,337645,258075,937000,1637000,1042000,550405,NA,NA,NA,NA,NA
"13",2000-01-13,2025798,2988747,337645,258075,937000,1637000,1042000,NA,NA,NA,NA,NA
"14",2000-01-14,4353000,2025798,2988747,337645,258075,937000,1637000,NA,NA,NA,NA,NA
"15",2000-01-15,5609000,4353000,2025798,2988747,337645,258075,937000,NA,NA,NA,NA,NA
"16",2000-01-16,4503000,5609000,4353000,2025798,2988747,337645,258075,NA,NA,NA,NA,NA
"17",2000-01-17,2885525,4503000,5609000,4353000,2025798,2988747,337645,NA,NA,NA,NA,NA
"18",2000-01-18,1029559,2885525,4503000,5609000,4353000,2025798,2988747,NA,NA,NA,NA,NA
"19",2000-01-19,874361,1029559,2885525,4503000,5609000,4353000,2025798,NA,NA,NA,NA,NA
"20",2000-01-20,874005,874361,1029559,2885525,4503000,5609000,4353000,NA,NA,NA,NA,NA
"21",2000-01-21,2526000,874005,874361,1029559,2885525,4503000,5609000,NA,NA,NA,NA,NA
"22",2000-01-22,3368000,2526000,874005,874361,1029559,2885525,4503000,NA,NA,NA,NA,NA
"23",2000-01-23,2350000,3368000,2526000,874005,874361,1029559,2885525,NA,NA,NA,NA,NA
"24",2000-01-24,632421,2350000,3368000,2526000,874005,874361,1029559,NA,NA,NA,NA,NA
"25",2000-01-25,522428,632421,2350000,3368000,2526000,874005,874361,NA,NA,NA,NA,NA
"26",2000-01-26,526865,522428,632421,2350000,3368000,2526000,874005,NA,NA,NA,NA,NA
"27",2000-01-27,540188,526865,522428,632421,2350000,3368000,2526000,NA,NA,NA,NA,NA
"28",2000-01-28,2211465,540188,526865,522428,632421,2350000,3368000,NA,NA,NA,NA,NA
"29",2000-01-29,3389255,2211465,540188,526865,522428,632421,2350000,NA,NA,NA,NA,NA
"30",2000-01-30,1409985,3389255,2211465,540188,526865,522428,632421,NA,NA,NA,NA,NA
"31",2000-01-31,606300,1409985,3389255,2211465,540188,526865,522428,NA,NA,NA,NA,NA
"32",2000-02-01,607225,606300,1409985,3389255,2211465,540188,526865,54202041,NA,NA,NA,NA
"33",2000-02-02,500711,607225,606300,1409985,3389255,2211465,540188,54202041,NA,NA,NA,NA
"34",2000-02-03,461865,500711,607225,606300,1409985,3389255,2211465,54202041,NA,NA,NA,NA
"35",2000-02-04,14764495,461865,500711,607225,606300,1409985,3389255,54202041,NA,NA,NA,NA
"36",2000-02-05,15990985,14764495,461865,500711,607225,606300,1409985,54202041,NA,NA,NA,NA
"37",2000-02-06,8880965,15990985,14764495,461865,500711,607225,606300,54202041,NA,NA,NA,NA
"38",2000-02-07,2182834,8880965,15990985,14764495,461865,500711,607225,54202041,NA,NA,NA,NA
"39",2000-02-08,2198298,2182834,8880965,15990985,14764495,461865,500711,54202041,NA,NA,NA,NA
"40",2000-02-09,1744676,2198298,2182834,8880965,15990985,14764495,461865,54202041,NA,NA,NA,NA
"41",2000-02-10,1543611,1744676,2198298,2182834,8880965,15990985,14764495,54202041,NA,NA,NA,NA
"42",2000-02-11,9777638,1543611,1744676,2198298,2182834,8880965,15990985,54202041,NA,NA,NA,NA
"43",2000-02-12,18513066,9777638,1543611,1744676,2198298,2182834,8880965,54202041,NA,NA,NA,NA
"44",2000-02-13,11224085,18513066,9777638,1543611,1744676,2198298,2182834,54202041,NA,NA,NA,NA
"45",2000-02-14,3920667,11224085,18513066,9777638,1543611,1744676,2198298,54202041,NA,NA,NA,NA
"46",2000-02-15,1968498,3920667,11224085,18513066,9777638,1543611,1744676,54202041,NA,NA,NA,NA
"47",2000-02-16,1788463,1968498,3920667,11224085,18513066,9777638,1543611,54202041,NA,NA,NA,NA
"48",2000-02-17,1952338,1788463,1968498,3920667,11224085,18513066,9777638,54202041,NA,NA,NA,NA
"49",2000-02-18,16227218,1952338,1788463,1968498,3920667,11224085,18513066,54202041,NA,NA,NA,NA
"50",2000-02-19,28788696,16227218,1952338,1788463,1968498,3920667,11224085,54202041,NA,NA,NA,NA
"51",2000-02-20,22177912,28788696,16227218,1952338,1788463,1968498,3920667,54202041,NA,NA,NA,NA
"52",2000-02-21,13684136,22177912,28788696,16227218,1952338,1788463,1968498,54202041,NA,NA,NA,NA
"53",2000-02-22,5418284,13684136,22177912,28788696,16227218,1952338,1788463,54202041,NA,NA,NA,NA
"54",2000-02-23,4539699,5418284,13684136,22177912,28788696,16227218,1952338,54202041,NA,NA,NA,NA
"55",2000-02-24,4688557,4539699,5418284,13684136,22177912,28788696,16227218,54202041,NA,NA,NA,NA
"56",2000-02-25,16154584,4688557,4539699,5418284,13684136,22177912,28788696,54202041,NA,NA,NA,NA
"57",2000-02-26,25568638,16154584,4688557,4539699,5418284,13684136,22177912,54202041,NA,NA,NA,NA
"58",2000-02-27,15493854,25568638,16154584,4688557,4539699,5418284,13684136,54202041,NA,NA,NA,NA
"59",2000-02-28,3361937,15493854,25568638,16154584,4688557,4539699,5418284,54202041,NA,NA,NA,NA
"60",2000-02-29,3622475,3361937,15493854,25568638,16154584,4688557,4539699,54202041,NA,NA,NA,NA
"61",2000-03-01,3236359,3622475,3361937,15493854,25568638,16154584,4688557,257746410,54202041,NA,NA,NA
"62",2000-03-02,2221500,3236359,3622475,3361937,15493854,25568638,16154584,257746410,54202041,NA,NA,NA
"63",2000-03-03,10274022,2221500,3236359,3622475,3361937,15493854,25568638,257746410,54202041,NA,NA,NA
"64",2000-03-04,17326877,10274022,2221500,3236359,3622475,3361937,15493854,257746410,54202041,NA,NA,NA
"65",2000-03-05,10710608,17326877,10274022,2221500,3236359,3622475,3361937,257746410,54202041,NA,NA,NA
"66",2000-03-06,2607558,10710608,17326877,10274022,2221500,3236359,3622475,257746410,54202041,NA,NA,NA
"67",2000-03-07,2632691,2607558,10710608,17326877,10274022,2221500,3236359,257746410,54202041,NA,NA,NA
"68",2000-03-08,2367138,2632691,2607558,10710608,17326877,10274022,2221500,257746410,54202041,NA,NA,NA
"69",2000-03-09,2542800,2367138,2632691,2607558,10710608,17326877,10274022,257746410,54202041,NA,NA,NA
"70",2000-03-10,13475733,2542800,2367138,2632691,2607558,10710608,17326877,257746410,54202041,NA,NA,NA
"71",2000-03-11,19911440,13475733,2542800,2367138,2632691,2607558,10710608,257746410,54202041,NA,NA,NA
"72",2000-03-12,13103216,19911440,13475733,2542800,2367138,2632691,2607558,257746410,54202041,NA,NA,NA
"73",2000-03-13,3922584,13103216,19911440,13475733,2542800,2367138,2632691,257746410,54202041,NA,NA,NA
"74",2000-03-14,4392094,3922584,13103216,19911440,13475733,2542800,2367138,257746410,54202041,NA,NA,NA
"75",2000-03-15,3809177,4392094,3922584,13103216,19911440,13475733,2542800,257746410,54202041,NA,NA,NA
"76",2000-03-16,3963745,3809177,4392094,3922584,13103216,19911440,13475733,257746410,54202041,NA,NA,NA
"77",2000-03-17,14085443,3963745,3809177,4392094,3922584,13103216,19911440,257746410,54202041,NA,NA,NA
"78",2000-03-18,22712602,14085443,3963745,3809177,4392094,3922584,13103216,257746410,54202041,NA,NA,NA
"79",2000-03-19,15446792,22712602,14085443,3963745,3809177,4392094,3922584,257746410,54202041,NA,NA,NA
"80",2000-03-20,4332302,15446792,22712602,14085443,3963745,3809177,4392094,257746410,54202041,NA,NA,NA
"81",2000-03-21,4483255,4332302,15446792,22712602,14085443,3963745,3809177,257746410,54202041,NA,NA,NA
"82",2000-03-22,8000951,4483255,4332302,15446792,22712602,14085443,3963745,257746410,54202041,NA,NA,NA
"83",2000-03-23,6084857,8000951,4483255,4332302,15446792,22712602,14085443,257746410,54202041,NA,NA,NA
"84",2000-03-24,16391596,6084857,8000951,4483255,4332302,15446792,22712602,257746410,54202041,NA,NA,NA
"85",2000-03-25,23007770,16391596,6084857,8000951,4483255,4332302,15446792,257746410,54202041,NA,NA,NA
"86",2000-03-26,12565645,23007770,16391596,6084857,8000951,4483255,4332302,257746410,54202041,NA,NA,NA
"87",2000-03-27,4293179,12565645,23007770,16391596,6084857,8000951,4483255,257746410,54202041,NA,NA,NA
"88",2000-03-28,4648896,4293179,12565645,23007770,16391596,6084857,8000951,257746410,54202041,NA,NA,NA
"89",2000-03-29,4003191,4648896,4293179,12565645,23007770,16391596,6084857,257746410,54202041,NA,NA,NA
"90",2000-03-30,3981122,4003191,4648896,4293179,12565645,23007770,16391596,257746410,54202041,NA,NA,NA
"91",2000-03-31,18714662,3981122,4003191,4648896,4293179,12565645,23007770,257746410,54202041,NA,NA,NA
"92",2000-04-01,25288679,18714662,3981122,4003191,4648896,4293179,12565645,279249805,257746410,54202041,NA,NA
"93",2000-04-02,16404801,25288679,18714662,3981122,4003191,4648896,4293179,279249805,257746410,54202041,NA,NA
"94",2000-04-03,4087111,16404801,25288679,18714662,3981122,4003191,4648896,279249805,257746410,54202041,NA,NA
"95",2000-04-04,4929739,4087111,16404801,25288679,18714662,3981122,4003191,279249805,257746410,54202041,NA,NA
"96",2000-04-05,4076471,4929739,4087111,16404801,25288679,18714662,3981122,279249805,257746410,54202041,NA,NA
"97",2000-04-06,3908397,4076471,4929739,4087111,16404801,25288679,18714662,279249805,257746410,54202041,NA,NA
"98",2000-04-07,19000281,3908397,4076471,4929739,4087111,16404801,25288679,279249805,257746410,54202041,NA,NA
"99",2000-04-08,28510410,19000281,3908397,4076471,4929739,4087111,16404801,279249805,257746410,54202041,NA,NA
"100",2000-04-09,16038410,28510410,19000281,3908397,4076471,4929739,4087111,279249805,257746410,54202041,NA,NA
"101",2000-04-10,4145110,16038410,28510410,19000281,3908397,4076471,4929739,279249805,257746410,54202041,NA,NA
"102",2000-04-11,4829384,4145110,16038410,28510410,19000281,3908397,4076471,279249805,257746410,54202041,NA,NA
"103",2000-04-12,4267256,4829384,4145110,16038410,28510410,19000281,3908397,279249805,257746410,54202041,NA,NA
"104",2000-04-13,4320074,4267256,4829384,4145110,16038410,28510410,19000281,279249805,257746410,54202041,NA,NA
"105",2000-04-14,15911971,4320074,4267256,4829384,4145110,16038410,28510410,279249805,257746410,54202041,NA,NA
"106",2000-04-15,24246895,15911971,4320074,4267256,4829384,4145110,16038410,279249805,257746410,54202041,NA,NA
"107",2000-04-16,15548803,24246895,15911971,4320074,4267256,4829384,4145110,279249805,257746410,54202041,NA,NA
"108",2000-04-17,5933431,15548803,24246895,15911971,4320074,4267256,4829384,279249805,257746410,54202041,NA,NA
"109",2000-04-18,6536040,5933431,15548803,24246895,15911971,4320074,4267256,279249805,257746410,54202041,NA,NA
"110",2000-04-19,5821382,6536040,5933431,15548803,24246895,15911971,4320074,279249805,257746410,54202041,NA,NA
"111",2000-04-20,7561813,5821382,6536040,5933431,15548803,24246895,15911971,279249805,257746410,54202041,NA,NA
"112",2000-04-21,25814841,7561813,5821382,6536040,5933431,15548803,24246895,279249805,257746410,54202041,NA,NA
"113",2000-04-22,25898707,25814841,7561813,5821382,6536040,5933431,15548803,279249805,257746410,54202041,NA,NA
"114",2000-04-23,17188344,25898707,25814841,7561813,5821382,6536040,5933431,279249805,257746410,54202041,NA,NA
"115",2000-04-24,7282275,17188344,25898707,25814841,7561813,5821382,6536040,279249805,257746410,54202041,NA,NA
"116",2000-04-25,6217686,7282275,17188344,25898707,25814841,7561813,5821382,279249805,257746410,54202041,NA,NA
"117",2000-04-26,5617719,6217686,7282275,17188344,25898707,25814841,7561813,279249805,257746410,54202041,NA,NA
"118",2000-04-27,5439754,5617719,6217686,7282275,17188344,25898707,25814841,279249805,257746410,54202041,NA,NA
"119",2000-04-28,15621167,5439754,5617719,6217686,7282275,17188344,25898707,279249805,257746410,54202041,NA,NA
"120",2000-04-29,22275988,15621167,5439754,5617719,6217686,7282275,17188344,279249805,257746410,54202041,NA,NA
"121",2000-04-30,12793617,22275988,15621167,5439754,5617719,6217686,7282275,279249805,257746410,54202041,NA,NA
"122",2000-05-01,3280594,12793617,22275988,15621167,5439754,5617719,6217686,365516556,279249805,257746410,NA,NA
"123",2000-05-02,3639694,3280594,12793617,22275988,15621167,5439754,5617719,365516556,279249805,257746410,NA,NA
"124",2000-05-03,3075660,3639694,3280594,12793617,22275988,15621167,5439754,365516556,279249805,257746410,NA,NA
"125",2000-05-04,3189269,3075660,3639694,3280594,12793617,22275988,15621167,365516556,279249805,257746410,NA,NA
"126",2000-05-05,18066328,3189269,3075660,3639694,3280594,12793617,22275988,365516556,279249805,257746410,NA,NA
"127",2000-05-06,25974718,18066328,3189269,3075660,3639694,3280594,12793617,365516556,279249805,257746410,NA,NA
"128",2000-05-07,18563544,25974718,18066328,3189269,3075660,3639694,3280594,365516556,279249805,257746410,NA,NA
"129",2000-05-08,5979290,18563544,25974718,18066328,3189269,3075660,3639694,365516556,279249805,257746410,NA,NA
"130",2000-05-09,6300443,5979290,18563544,25974718,18066328,3189269,3075660,365516556,279249805,257746410,NA,NA
"131",2000-05-10,5649603,6300443,5979290,18563544,25974718,18066328,3189269,365516556,279249805,257746410,NA,NA
"132",2000-05-11,5444849,5649603,6300443,5979290,18563544,25974718,18066328,365516556,279249805,257746410,NA,NA
"133",2000-05-12,13040023,5444849,5649603,6300443,5979290,18563544,25974718,365516556,279249805,257746410,NA,NA
"134",2000-05-13,19955933,13040023,5444849,5649603,6300443,5979290,18563544,365516556,279249805,257746410,NA,NA
"135",2000-05-14,13155180,19955933,13040023,5444849,5649603,6300443,5979290,365516556,279249805,257746410,NA,NA
"136",2000-05-15,4339071,13155180,19955933,13040023,5444849,5649603,6300443,365516556,279249805,257746410,NA,NA
"137",2000-05-16,4667475,4339071,13155180,19955933,13040023,5444849,5649603,365516556,279249805,257746410,NA,NA
"138",2000-05-17,4027049,4667475,4339071,13155180,19955933,13040023,5444849,365516556,279249805,257746410,NA,NA
"139",2000-05-18,4066336,4027049,4667475,4339071,13155180,19955933,13040023,365516556,279249805,257746410,NA,NA
"140",2000-05-19,14954327,4066336,4027049,4667475,4339071,13155180,19955933,365516556,279249805,257746410,NA,NA
"141",2000-05-20,20532045,14954327,4066336,4027049,4667475,4339071,13155180,365516556,279249805,257746410,NA,NA
"142",2000-05-21,14861519,20532045,14954327,4066336,4027049,4667475,4339071,365516556,279249805,257746410,NA,NA
"143",2000-05-22,5894822,14861519,20532045,14954327,4066336,4027049,4667475,365516556,279249805,257746410,NA,NA
"144",2000-05-23,5163456,5894822,14861519,20532045,14954327,4066336,4027049,365516556,279249805,257746410,NA,NA
"145",2000-05-24,15998681,5163456,5894822,14861519,20532045,14954327,4066336,365516556,279249805,257746410,NA,NA
"146",2000-05-25,12034946,15998681,5163456,5894822,14861519,20532045,14954327,365516556,279249805,257746410,NA,NA
"147",2000-05-26,28709042,12034946,15998681,5163456,5894822,14861519,20532045,365516556,279249805,257746410,NA,NA
"148",2000-05-27,40688008,28709042,12034946,15998681,5163456,5894822,14861519,365516556,279249805,257746410,NA,NA
"149",2000-05-28,36978819,40688008,28709042,12034946,15998681,5163456,5894822,365516556,279249805,257746410,NA,NA
"150",2000-05-29,25898850,36978819,40688008,28709042,12034946,15998681,5163456,365516556,279249805,257746410,NA,NA
"151",2000-05-30,9110701,25898850,36978819,40688008,28709042,12034946,15998681,365516556,279249805,257746410,NA,NA
"152",2000-05-31,7911112,9110701,25898850,36978819,40688008,28709042,12034946,365516556,279249805,257746410,NA,NA
"153",2000-06-01,7856617,7911112,9110701,25898850,36978819,40688008,28709042,401151387,365516556,279249805,NA,NA
"154",2000-06-02,23677522,7856617,7911112,9110701,25898850,36978819,40688008,401151387,365516556,279249805,NA,NA
"155",2000-06-03,35170820,23677522,7856617,7911112,9110701,25898850,36978819,401151387,365516556,279249805,NA,NA
"156",2000-06-04,22854037,35170820,23677522,7856617,7911112,9110701,25898850,401151387,365516556,279249805,NA,NA
"157",2000-06-05,9003191,22854037,35170820,23677522,7856617,7911112,9110701,401151387,365516556,279249805,NA,NA
"158",2000-06-06,9452635,9003191,22854037,35170820,23677522,7856617,7911112,401151387,365516556,279249805,NA,NA
"159",2000-06-07,7160022,9452635,9003191,22854037,35170820,23677522,7856617,401151387,365516556,279249805,NA,NA
"160",2000-06-08,7874861,7160022,9452635,9003191,22854037,35170820,23677522,401151387,365516556,279249805,NA,NA
"161",2000-06-09,23871774,7874861,7160022,9452635,9003191,22854037,35170820,401151387,365516556,279249805,NA,NA
"162",2000-06-10,33747486,23871774,7874861,7160022,9452635,9003191,22854037,401151387,365516556,279249805,NA,NA
"163",2000-06-11,23830852,33747486,23871774,7874861,7160022,9452635,9003191,401151387,365516556,279249805,NA,NA
"164",2000-06-12,9827908,23830852,33747486,23871774,7874861,7160022,9452635,401151387,365516556,279249805,NA,NA
"165",2000-06-13,9986176,9827908,23830852,33747486,23871774,7874861,7160022,401151387,365516556,279249805,NA,NA
"166",2000-06-14,8522897,9986176,9827908,23830852,33747486,23871774,7874861,401151387,365516556,279249805,NA,NA
"167",2000-06-15,8909730,8522897,9986176,9827908,23830852,33747486,23871774,401151387,365516556,279249805,NA,NA
"168",2000-06-16,14487225,8909730,8522897,9986176,9827908,23830852,33747486,401151387,365516556,279249805,NA,NA
"169",2000-06-17,21062673,14487225,8909730,8522897,9986176,9827908,23830852,401151387,365516556,279249805,NA,NA
"170",2000-06-18,17076145,21062673,14487225,8909730,8522897,9986176,9827908,401151387,365516556,279249805,NA,NA
"171",2000-06-19,5764442,17076145,21062673,14487225,8909730,8522897,9986176,401151387,365516556,279249805,NA,NA
"172",2000-06-20,6681280,5764442,17076145,21062673,14487225,8909730,8522897,401151387,365516556,279249805,NA,NA
"173",2000-06-21,6297308,6681280,5764442,17076145,21062673,14487225,8909730,401151387,365516556,279249805,NA,NA
"174",2000-06-22,6225333,6297308,6681280,5764442,17076145,21062673,14487225,401151387,365516556,279249805,NA,NA
"175",2000-06-23,17281701,6225333,6297308,6681280,5764442,17076145,21062673,401151387,365516556,279249805,NA,NA
"176",2000-06-24,22820047,17281701,6225333,6297308,6681280,5764442,17076145,401151387,365516556,279249805,NA,NA
"177",2000-06-25,17404623,22820047,17281701,6225333,6297308,6681280,5764442,401151387,365516556,279249805,NA,NA
"178",2000-06-26,7765664,17404623,22820047,17281701,6225333,6297308,6681280,401151387,365516556,279249805,NA,NA
"179",2000-06-27,8051597,7765664,17404623,22820047,17281701,6225333,6297308,401151387,365516556,279249805,NA,NA
"180",2000-06-28,11230822,8051597,7765664,17404623,22820047,17281701,6225333,401151387,365516556,279249805,NA,NA
"181",2000-06-29,10627355,11230822,8051597,7765664,17404623,22820047,17281701,401151387,365516556,279249805,NA,NA
"182",2000-06-30,31887178,10627355,11230822,8051597,7765664,17404623,22820047,401151387,365516556,279249805,NA,NA
"183",2000-07-01,38180774,31887178,10627355,11230822,8051597,7765664,17404623,446409921,401151387,365516556,NA,NA
"184",2000-07-02,34063448,38180774,31887178,10627355,11230822,8051597,7765664,446409921,401151387,365516556,NA,NA
"185",2000-07-03,31154241,34063448,38180774,31887178,10627355,11230822,8051597,446409921,401151387,365516556,NA,NA
"186",2000-07-04,23181941,31154241,34063448,38180774,31887178,10627355,11230822,446409921,401151387,365516556,NA,NA
"187",2000-07-05,13449225,23181941,31154241,34063448,38180774,31887178,10627355,446409921,401151387,365516556,NA,NA
"188",2000-07-06,13229135,13449225,23181941,31154241,34063448,38180774,31887178,446409921,401151387,365516556,NA,NA
"189",2000-07-07,39431321,13229135,13449225,23181941,31154241,34063448,38180774,446409921,401151387,365516556,NA,NA
"190",2000-07-08,48198122,39431321,13229135,13449225,23181941,31154241,34063448,446409921,401151387,365516556,NA,NA
"191",2000-07-09,36487541,48198122,39431321,13229135,13449225,23181941,31154241,446409921,401151387,365516556,NA,NA
"192",2000-07-10,16178538,36487541,48198122,39431321,13229135,13449225,23181941,446409921,401151387,365516556,NA,NA
"193",2000-07-11,15838322,16178538,36487541,48198122,39431321,13229135,13449225,446409921,401151387,365516556,NA,NA
"194",2000-07-12,13526664,15838322,16178538,36487541,48198122,39431321,13229135,446409921,401151387,365516556,NA,NA
"195",2000-07-13,13355328,13526664,15838322,16178538,36487541,48198122,39431321,446409921,401151387,365516556,NA,NA
"196",2000-07-14,45239767,13355328,13526664,15838322,16178538,36487541,48198122,446409921,401151387,365516556,NA,NA
"197",2000-07-15,53255485,45239767,13355328,13526664,15838322,16178538,36487541,446409921,401151387,365516556,NA,NA
"198",2000-07-16,38517266,53255485,45239767,13355328,13526664,15838322,16178538,446409921,401151387,365516556,NA,NA
"199",2000-07-17,16109743,38517266,53255485,45239767,13355328,13526664,15838322,446409921,401151387,365516556,NA,NA
"200",2000-07-18,16493504,16109743,38517266,53255485,45239767,13355328,13526664,446409921,401151387,365516556,NA,NA
"201",2000-07-19,14417628,16493504,16109743,38517266,53255485,45239767,13355328,446409921,401151387,365516556,NA,NA
"202",2000-07-20,13038453,14417628,16493504,16109743,38517266,53255485,45239767,446409921,401151387,365516556,NA,NA
"203",2000-07-21,33460465,13038453,14417628,16493504,16109743,38517266,53255485,446409921,401151387,365516556,NA,NA
"204",2000-07-22,42670443,33460465,13038453,14417628,16493504,16109743,38517266,446409921,401151387,365516556,NA,NA
"205",2000-07-23,30334234,42670443,33460465,13038453,14417628,16493504,16109743,446409921,401151387,365516556,NA,NA
"206",2000-07-24,14363770,30334234,42670443,33460465,13038453,14417628,16493504,446409921,401151387,365516556,NA,NA
"207",2000-07-25,15054227,14363770,30334234,42670443,33460465,13038453,14417628,446409921,401151387,365516556,NA,NA
"208",2000-07-26,15061635,15054227,14363770,30334234,42670443,33460465,13038453,446409921,401151387,365516556,NA,NA
"209",2000-07-27,14328235,15061635,15054227,14363770,30334234,42670443,33460465,446409921,401151387,365516556,NA,NA
"210",2000-07-28,35471989,14328235,15061635,15054227,14363770,30334234,42670443,446409921,401151387,365516556,NA,NA
"211",2000-07-29,44535930,35471989,14328235,15061635,15054227,14363770,30334234,446409921,401151387,365516556,NA,NA
"212",2000-07-30,35542421,44535930,35471989,14328235,15061635,15054227,14363770,446409921,401151387,365516556,NA,NA
"213",2000-07-31,14691766,35542421,44535930,35471989,14328235,15061635,15054227,446409921,401151387,365516556,NA,NA
"214",2000-08-01,15735825,14691766,35542421,44535930,35471989,14328235,15061635,828861561,446409921,401151387,NA,NA
"215",2000-08-02,12534703,15735825,14691766,35542421,44535930,35471989,14328235,828861561,446409921,401151387,NA,NA
"216",2000-08-03,12350069,12534703,15735825,14691766,35542421,44535930,35471989,828861561,446409921,401151387,NA,NA
"217",2000-08-04,30647287,12350069,12534703,15735825,14691766,35542421,44535930,828861561,446409921,401151387,NA,NA
"218",2000-08-05,37851570,30647287,12350069,12534703,15735825,14691766,35542421,828861561,446409921,401151387,NA,NA
"219",2000-08-06,31908410,37851570,30647287,12350069,12534703,15735825,14691766,828861561,446409921,401151387,NA,NA
"220",2000-08-07,13306829,31908410,37851570,30647287,12350069,12534703,15735825,828861561,446409921,401151387,NA,NA
"221",2000-08-08,12679166,13306829,31908410,37851570,30647287,12350069,12534703,828861561,446409921,401151387,NA,NA
"222",2000-08-09,11009311,12679166,13306829,31908410,37851570,30647287,12350069,828861561,446409921,401151387,NA,NA
"223",2000-08-10,10729186,11009311,12679166,13306829,31908410,37851570,30647287,828861561,446409921,401151387,NA,NA
"224",2000-08-11,19439424,10729186,11009311,12679166,13306829,31908410,37851570,828861561,446409921,401151387,NA,NA
"225",2000-08-12,26844460,19439424,10729186,11009311,12679166,13306829,31908410,828861561,446409921,401151387,NA,NA
"226",2000-08-13,21526835,26844460,19439424,10729186,11009311,12679166,13306829,828861561,446409921,401151387,NA,NA
"227",2000-08-14,8920796,21526835,26844460,19439424,10729186,11009311,12679166,828861561,446409921,401151387,NA,NA
"228",2000-08-15,8856103,8920796,21526835,26844460,19439424,10729186,11009311,828861561,446409921,401151387,NA,NA
"229",2000-08-16,7385079,8856103,8920796,21526835,26844460,19439424,10729186,828861561,446409921,401151387,NA,NA
"230",2000-08-17,7518429,7385079,8856103,8920796,21526835,26844460,19439424,828861561,446409921,401151387,NA,NA
"231",2000-08-18,15953880,7518429,7385079,8856103,8920796,21526835,26844460,828861561,446409921,401151387,NA,NA
"232",2000-08-19,20770153,15953880,7518429,7385079,8856103,8920796,21526835,828861561,446409921,401151387,NA,NA
"233",2000-08-20,15356925,20770153,15953880,7518429,7385079,8856103,8920796,828861561,446409921,401151387,NA,NA
"234",2000-08-21,5780293,15356925,20770153,15953880,7518429,7385079,8856103,828861561,446409921,401151387,NA,NA
"235",2000-08-22,6124496,5780293,15356925,20770153,15953880,7518429,7385079,828861561,446409921,401151387,NA,NA
"236",2000-08-23,5139318,6124496,5780293,15356925,20770153,15953880,7518429,828861561,446409921,401151387,NA,NA
"237",2000-08-24,5157183,5139318,6124496,5780293,15356925,20770153,15953880,828861561,446409921,401151387,NA,NA
"238",2000-08-25,14157767,5157183,5139318,6124496,5780293,15356925,20770153,828861561,446409921,401151387,NA,NA
"239",2000-08-26,18646620,14157767,5157183,5139318,6124496,5780293,15356925,828861561,446409921,401151387,NA,NA
"240",2000-08-27,13301892,18646620,14157767,5157183,5139318,6124496,5780293,828861561,446409921,401151387,NA,NA
"241",2000-08-28,4579949,13301892,18646620,14157767,5157183,5139318,6124496,828861561,446409921,401151387,NA,NA
"242",2000-08-29,4720687,4579949,13301892,18646620,14157767,5157183,5139318,828861561,446409921,401151387,NA,NA
"243",2000-08-30,3918317,4720687,4579949,13301892,18646620,14157767,5157183,828861561,446409921,401151387,NA,NA
"244",2000-08-31,3926260,3918317,4720687,4579949,13301892,18646620,14157767,828861561,446409921,401151387,NA,NA
"245",2000-09-01,11305432,3926260,3918317,4720687,4579949,13301892,18646620,426777222,828861561,446409921,NA,NA
"246",2000-09-02,16553234,11305432,3926260,3918317,4720687,4579949,13301892,426777222,828861561,446409921,NA,NA
"247",2000-09-03,14758051,16553234,11305432,3926260,3918317,4720687,4579949,426777222,828861561,446409921,NA,NA
"248",2000-09-04,11911097,14758051,16553234,11305432,3926260,3918317,4720687,426777222,828861561,446409921,NA,NA
"249",2000-09-05,2701391,11911097,14758051,16553234,11305432,3926260,3918317,426777222,828861561,446409921,NA,NA
"250",2000-09-06,2107663,2701391,11911097,14758051,16553234,11305432,3926260,426777222,828861561,446409921,NA,NA
"251",2000-09-07,1917799,2107663,2701391,11911097,14758051,16553234,11305432,426777222,828861561,446409921,NA,NA
"252",2000-09-08,11116707,1917799,2107663,2701391,11911097,14758051,16553234,426777222,828861561,446409921,NA,NA
"253",2000-09-09,17650050,11116707,1917799,2107663,2701391,11911097,14758051,426777222,828861561,446409921,NA,NA
"254",2000-09-10,9910069,17650050,11116707,1917799,2107663,2701391,11911097,426777222,828861561,446409921,NA,NA
